nom_de_l_etablissment,ips_voie_pro,type_de_lycee,secteur,uai,ips_ensemble_gt_pro,code_du_departement,rentree_scolaire,code_insee_de_la_commune,academie,departement,nom_de_la_commune,ips_voie_gt,ecart_type_de_l_ips_voie_pro,ecart_type_de_l_ips_voie_gt
LYCEE GENERAL ET TECHNOLOGIQUE JACOB HOLTZER,,LEGT,public,0420014M,108.0,42,2019-2020,42095,LYON,LOIRE,FIRMINY,108.0,,34.0
LYCEE GENERAL ET TECHNOLOGIQUE ALBERT THOMAS,,LEGT,public,0420033H,97.8,42,2019-2020,42187,LYON,LOIRE,ROANNE,97.8,,31.9
LYCEE GENERAL CLAUDE FAURIEL,,LEGT,public,0420041S,113.1,42,2019-2020,42218,LYON,LOIRE,SAINT ETIENNE,113.1,,39.4
LYCEE PROFESSIONNEL ALBERT THOMAS,78.5,LP,public,0420077F,78.5,42,2019-2020,42187,LYON,LOIRE,ROANNE,,25.7,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE TEZENAS DU MONTCEL LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,,LEGT,privé sous contrat,0420979L,102.3,42,2019-2020,42218,LYON,LOIRE,SAINT ETIENNE,102.3,,36.4
LYCEE PROFESSIONNEL HOTELIER LYCEE DES METIERS DE LA RESTAURATION ET DES METIERS DE BOUCHE,88.4,LP,public,0421736J,88.4,42,2019-2020,42207,LYON,LOIRE,SAINT CHAMOND,,31.2,
LYCEE POLYVALENT PRIVE RENOUVEAU LYCEE DES METIERS DE LA RESTAURATION,97.9,LPO,privé sous contrat,0422160V,101.1,42,2019-2020,42223,LYON,LOIRE,SAINT GENEST LERPT,111.9,35.9,37.2
LYCEE GENERAL ET TECHNOLOGIQUE DES HORIZONS,,LEGT,public,0422284E,120.7,42,2019-2020,42059,LYON,LOIRE,CHAZELLES SUR LYON,120.7,,32.6
LYCEE POLYVALENT PRIVE SAINT JULIEN,98.5,LPO,privé sous contrat,0430053Z,103.1,43,2019-2020,43040,CLERMONT-FERRAND,HAUTE-LOIRE,BRIOUDE,104.2,32.6,31.6
LYCEE PRIVE EUROPEEN SAINT JACQUES DE COMPOSTELLE,,LEGT,privé sous contrat,0430968U,118.7,43,2019-2020,43157,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY EN VELAY,118.7,,31.6
LYCEE GENERAL CLEMENCEAU,,LEGT,public,0440021J,138.6,44,2019-2020,44109,NANTES,LOIRE-ATLANTIQUE,NANTES,138.6,,34.6
LYCEE GENERAL ET TECHNOLOGIQUE LA COLINIERE,,LEGT,public,0440086E,115.1,44,2019-2020,44109,NANTES,LOIRE-ATLANTIQUE,NANTES,115.1,,36.6
LYCEE PRIVE HOTELIER SAINTE ANNE LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION ET DE LA SANTE,110.6,LPO,privé sous contrat,0440119R,113.2,44,2019-2020,44184,NANTES,LOIRE-ATLANTIQUE,SAINT NAZAIRE,118.8,29.9,30.8
LYCEE GENERAL PRIVE LA PERVERIE SACRE COEUR,,LEGT,privé sous contrat,0440172Y,143.5,44,2019-2020,44109,NANTES,LOIRE-ATLANTIQUE,NANTES,143.5,,25.7
LYCEE GENERAL PRIVE SAINT DOMINIQUE,,LEGT,privé sous contrat,0440176C,133.4,44,2019-2020,44162,NANTES,LOIRE-ATLANTIQUE,SAINT HERBLAIN,133.4,,25.8
LYCEE GENERAL PRIVE NOTRE DAME D ESPERANCE,,LEGT,privé sous contrat,0440178E,125.3,44,2019-2020,44184,NANTES,LOIRE-ATLANTIQUE,SAINT NAZAIRE,125.3,,32.5
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH,,LEGT,privé sous contrat,0440201E,118.2,44,2019-2020,44087,NANTES,LOIRE-ATLANTIQUE,MACHECOUL SAINT MEME,118.2,,35.0
LYCEE POLYVALENT PRIVE NOTRE DAME,90.3,LPO,privé sous contrat,0440274J,110.8,44,2019-2020,44143,NANTES,LOIRE-ATLANTIQUE,REZE,119.6,27.8,33.7
LYCEE PROFESSIONNEL PRIVE SAINTE THERESE,99.0,LP,privé sous contrat,0440307V,99.0,44,2019-2020,44184,NANTES,LOIRE-ATLANTIQUE,SAINT NAZAIRE,,28.6,
LYCEE PROFESSIONNEL DES TROIS RIVIERES,91.5,LP,public,0440541Z,91.5,44,2019-2020,44129,NANTES,LOIRE-ATLANTIQUE,PONTCHATEAU,,28.9,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE BRETAGNE,,LEGT,privé sous contrat,0441982R,123.2,44,2019-2020,44109,NANTES,LOIRE-ATLANTIQUE,NANTES,123.2,,34.4
LYCEE PROFESSIONNEL PRIVE DANIEL BROTTIER,100.0,LP,privé sous contrat,0442071M,100.0,44,2019-2020,44020,NANTES,LOIRE-ATLANTIQUE,BOUGUENAIS,,34.1,
LYCEE GENERAL GALILEE,,LEGT,public,0442112G,115.1,44,2019-2020,44069,NANTES,LOIRE-ATLANTIQUE,GUERANDE,115.1,,33.2
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE CHARLES PEGUY,,LEGT,privé sous contrat,0442273G,110.7,44,2019-2020,44064,NANTES,LOIRE-ATLANTIQUE,GORGES,110.7,,32.5
LYCEE GENERAL PRIVE SAINT MARTIN,,LEGT,privé sous contrat,0442778F,119.4,44,2019-2020,44110,NANTES,LOIRE-ATLANTIQUE,NORT SUR ERDRE,119.4,,35.5
LYCEE GENERAL ET TECHNOLOGIQUE HONORE D ESTIENNE D ORVES,,LEGT,public,0442834S,131.2,44,2019-2020,44026,NANTES,LOIRE-ATLANTIQUE,CARQUEFOU,131.2,,32.6
LYCEE GENERAL ET TECHNOLOGIQUE EN FORET,,LEGT,public,0450040Z,105.5,45,2019-2020,45208,ORLEANS-TOURS,LOIRET,MONTARGIS,105.5,,34.9
LYCEE GENERAL ET TECHNOLOGIQUE DURZY,,LEGT,public,0450042B,107.7,45,2019-2020,45338,ORLEANS-TOURS,LOIRET,VILLEMANDEUR,107.7,,35.3
LYCEE PROFESSIONNEL JEANNETTE VERDIER,80.6,LP,public,0450043C,80.6,45,2019-2020,45208,ORLEANS-TOURS,LOIRET,MONTARGIS,,26.5,
LYCEE POLYVALENT BENJAMIN FRANKLIN,84.4,LPO,public,0450051L,102.3,45,2019-2020,45234,ORLEANS-TOURS,LOIRET,ORLEANS,105.6,29.9,35.9
LYCEE PROFESSIONNEL GAUDIER BRZESKA LYCEE DES METIERS DU BATIMENT ET DE L ENERGIE DES TRAVAUX PUBLICS ET DU GEOMETRE,89.3,LPO,public,0450064A,92.3,45,2019-2020,45284,ORLEANS-TOURS,LOIRET,SAINT JEAN DE BRAYE,121.8,28.7,35.6
LYCEE POLYVALENT PRIVE SAINT FRANCOIS DE SALES,90.6,LPO,privé sous contrat,0450106W,108.2,45,2019-2020,45155,ORLEANS-TOURS,LOIRET,GIEN,112.3,28.6,34.7
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT CHARLES,,LEGT,privé sous contrat,0450110A,135.5,45,2019-2020,45234,ORLEANS-TOURS,LOIRET,ORLEANS,135.5,,29.3
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE CROIX SAINT EUVERTE,,LEGT,privé sous contrat,0450757D,124.3,45,2019-2020,45234,ORLEANS-TOURS,LOIRET,ORLEANS,124.3,,33.1
LYCEE POLYVALENT PRIVE ST PAUL BOURDON BLANC LYCEE DES METIERS DU MANAGEMENT ET DE LA COMMUNICATION,90.2,LPO,privé sous contrat,0450758E,100.9,45,2019-2020,45234,ORLEANS-TOURS,LOIRET,ORLEANS,116.1,30.0,34.0
LYCEE PROFESSIONNEL PAUL GAUGUIN LYCEE DES METIERS DES SERVICES,80.4,LP,public,0450786K,80.4,45,2019-2020,45234,ORLEANS-TOURS,LOIRET,ORLEANS,,27.8,
LYCEE POLYVALENT MAURICE GENEVOIX,94.0,LPO,public,0451483T,113.6,45,2019-2020,45169,ORLEANS-TOURS,LOIRET,INGRE,115.6,31.7,33.6
LYCEE PROFESSIONNEL PRIVE STE CROIX STE EUVERTE LYCEE DES METIERS DES TECHNIQUES INDUSTRIELLES DE LA COMMERCIALISATION DE LA SANTE ET DU SOCIAL,95.3,LP,privé sous contrat,0451590J,95.3,45,2019-2020,45234,ORLEANS-TOURS,LOIRET,ORLEANS,,31.0,
LYCEE PROFESSIONNEL PRIVE SAINT ETIENNE,102.9,LP,privé sous contrat,0460050E,102.9,46,2019-2020,46042,TOULOUSE,LOT,CAHORS,,35.7,
LYCEE GENERAL ET TECHNOLOGIQUE BERNARD PALISSY,66.0,LPO,public,0470001W,114.7,47,2019-2020,47001,BORDEAUX,LOT-ET-GARONNE,AGEN,114.7,0.0,36.8
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE CATHERINE,,LEGT,privé sous contrat,0470065R,114.1,47,2019-2020,47323,BORDEAUX,LOT-ET-GARONNE,VILLENEUVE SUR LOT,114.1,,33.0
LYCEE PROFESSIONNEL PRIVE NOTRE DAME LA COMPASSION,82.2,LP,privé sous contrat,0470730N,82.2,47,2019-2020,47157,BORDEAUX,LOT-ET-GARONNE,MARMANDE,,28.7,
LYCEE PROFESSIONNEL JEAN MONNET,89.0,LP,public,0470782V,89.0,47,2019-2020,47100,BORDEAUX,LOT-ET-GARONNE,FOULAYRONNES,,31.2,
LYCEE POLYVALENT PRIVE SAINT PIERRE SAINT PAUL,100.1,LPO,privé sous contrat,0480022N,105.5,48,2019-2020,48080,MONTPELLIER,LOZERE,LANGOGNE,110.4,27.9,32.2
LYCEE POLYVALENT PRIVE SAINT JOSEPH LYCEE DES METIERS DES SERVICES ET SOINS A LA PERSONNE,99.4,LPO,privé sous contrat,0480023P,106.8,48,2019-2020,48092,MONTPELLIER,LOZERE,MARVEJOLS,113.3,28.9,29.9
LYCEE POLYVALENT CHEVROLLIER LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES,93.6,LPO,public,0490003M,108.6,49,2019-2020,49007,NANTES,MAINE-ET-LOIRE,ANGERS,111.6,32.5,37.8
LYCEE PROFESSIONNEL PAUL EMILE VICTOR,80.4,LP,public,0490801E,80.4,49,2019-2020,49015,NANTES,MAINE-ET-LOIRE,AVRILLE,,27.6,
LYCEE GENERAL PRIVE NOTRE DAME,,LEGT,privé sous contrat,0490837U,113.1,49,2019-2020,49092,NANTES,MAINE-ET-LOIRE,CHEMILLE EN ANJOU,113.1,,29.9
LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION ET DU SECRETARIAT,102.0,LP,privé sous contrat,0490886X,102.0,49,2019-2020,49099,NANTES,MAINE-ET-LOIRE,CHOLET,,28.6,
LYCEE PROFESSIONNEL PRIVE LE PINIER NEUF LYCEE DES METIERS DE LA MAINTENANCE DE L ENERGIE DE LA CONSTRUCTION,98.9,LP,privé sous contrat,0490903R,98.9,49,2019-2020,49023,NANTES,MAINE-ET-LOIRE,BEAUPREAU EN MAUGES,,27.2,
LYCEE PROFESSIONNEL LUDOVIC MENARD,77.1,LP,public,0491646Y,77.1,49,2019-2020,49353,NANTES,MAINE-ET-LOIRE,TRELAZE,,25.4,
LYCEE GENERAL ET TECHNOLOGIQUE HENRI BERGSON,,LEGT,public,0491966W,121.8,49,2019-2020,49007,NANTES,MAINE-ET-LOIRE,ANGERS,121.8,,34.0
LYCEE GENERAL ET TECHNOLOGIQUE EMMANUEL MOUNIER,,LEGT,public,0492089E,112.4,49,2019-2020,49007,NANTES,MAINE-ET-LOIRE,ANGERS,112.4,,34.6
LYCEE GENERAL ET TECHNOLOGIQUE JEAN BODIN,,LEGT,public,0492148U,119.7,49,2019-2020,49246,NANTES,MAINE-ET-LOIRE,LES PONTS DE CE,119.7,,33.9
LYCEE GENERAL ET TECHNOLOGIQUE CHARLES FRANCOIS LEBRUN,,LEGT,public,0500026G,108.7,50,2019-2020,50147,CAEN,MANCHE,COUTANCES,108.7,,34.0
LYCEE GENERAL PRIVE JEAN PAUL II,,LEGT,privé sous contrat,0500116E,113.9,50,2019-2020,50147,CAEN,MANCHE,COUTANCES,113.9,,32.7
LYCEE GENERAL PRIVE SEVIGNE,,LEGT,privé sous contrat,0500119H,116.6,50,2019-2020,50218,CAEN,MANCHE,GRANVILLE,116.6,,31.9
LYCEE PROFESSIONNEL PRIVE LA BUCAILLE,91.5,LP,privé sous contrat,0501788X,91.5,50,2019-2020,50129,CAEN,MANCHE,CHERBOURG EN COTENTIN,,31.1,
LYCEE PROFESSIONNEL PRIVE INSTITUT SAINT LO,102.1,LP,privé sous contrat,0501825M,102.1,50,2019-2020,50002,CAEN,MANCHE,AGNEAUX,,31.6,
LYCEE GENERAL ET TECHNOLOGIQUE VICTOR GRIGNARD,,LEGT,public,0501828R,115.3,50,2019-2020,50129,CAEN,MANCHE,CHERBOURG EN COTENTIN,115.3,,37.7
LYCEE PROFESSIONNEL THOMAS PESQUET LYCEE DES METIERS,87.4,LP,public,0502009M,87.4,50,2019-2020,50147,CAEN,MANCHE,COUTANCES,,27.6,
LYCEE PROFESSIONNEL EUROPE LYCEE DES METIERS DES SOINS PERSONNELS ET SERVICES A LA PERSONNE,80.0,LP,public,0510038P,80.0,51,2019-2020,51454,REIMS,MARNE,REIMS,,27.7,
LYCEE POLYVALENT EUROPEEN STEPHANE HESSEL LYCEE DES METIERS INDUSTRIELS ET TERTIAIRES DU VIGNOBLE,81.8,LPO,public,0510068X,103.1,51,2019-2020,51230,REIMS,MARNE,EPERNAY,108.1,26.2,33.5
LYCEE PROFESSIONNEL PRIVE SAINTE MARIE,96.3,LP,privé sous contrat,0511149X,96.3,51,2019-2020,51230,REIMS,MARNE,EPERNAY,,32.2,
LYCEE GENERAL ET TECHNOLOGIQUE MARC CHAGALL,,LEGT,public,0511926S,124.3,51,2019-2020,51454,REIMS,MARNE,REIMS,124.3,,36.0
LYCEE PROFESSIONNEL EUGENE DECOMBLE,85.7,LP,public,0520008B,85.7,52,2019-2020,52121,REIMS,HAUTE-MARNE,CHAUMONT,,25.9,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE OUDINOT,,LEGT,privé sous contrat,0520685M,114.6,52,2019-2020,52121,REIMS,HAUTE-MARNE,CHAUMONT,114.6,,29.9
LYCEE GENERAL ET TECHNOLOGIQUE EDME BOUCHARDON,,LEGT,public,0520844K,102.7,52,2019-2020,52121,REIMS,HAUTE-MARNE,CHAUMONT,102.7,,34.7
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MICHEL,,LEGT,privé sous contrat,0530046M,119.0,53,2019-2020,53062,NANTES,MAYENNE,CHATEAU GONTIER SUR MAYENNE,119.0,,29.3
LYCEE GENERAL PRIVE DON BOSCO,,LEGT,privé sous contrat,0530052U,109.4,53,2019-2020,53147,NANTES,MAYENNE,MAYENNE,109.4,,32.4
LYCEE PROFESSIONNEL GASTON LESNARD LYCEE DES METIERS DU BATIMENT,91.6,LP,public,0530778H,91.6,53,2019-2020,53130,NANTES,MAYENNE,LAVAL,,33.0,
LYCEE INTERNATIONAL JEANNE D ARC,,LEGT,public,0540039Z,121.7,54,2019-2020,54395,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,121.7,,37.9
LYCEE GENERAL ET TECHNOLOGIQUE HENRI LORITZ,,LEGT,public,0540042C,120.9,54,2019-2020,54395,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,120.9,,36.9
LYCEE GENERAL ET TECHNOLOGIQUE ARTHUR VAROQUAUX,,LEGT,public,0540044E,106.4,54,2019-2020,54526,NANCY-METZ,MEURTHE-ET-MOSELLE,TOMBLAINE,106.4,,34.2
LYCEE PROFESSIONNEL LA TOURNELLE,78.0,LP,public,0540060X,78.0,54,2019-2020,54432,NANCY-METZ,MEURTHE-ET-MOSELLE,PONT SAINT VINCENT,,24.4,
LYCEE GENERAL ET TECHNOLOGIQUE JACQUES CALLOT,,LEGT,public,0540070H,113.4,54,2019-2020,54547,NANCY-METZ,MEURTHE-ET-MOSELLE,VANDOEUVRE LES NANCY,113.4,,37.7
LYCEE GENERAL PRIVE SAINT PIERRE FOURIER,,LEGT,privé sous contrat,0541312H,116.1,54,2019-2020,54329,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,116.1,,33.8
LYCEE GENERAL PRIVE SAINT DOMINIQUE,,LEGT,privé sous contrat,0541319R,117.6,54,2019-2020,54395,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,117.6,,35.6
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEAN BAPTISTE VATELOT,,LEGT,privé sous contrat,0541320S,110.9,54,2019-2020,54528,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,110.9,,28.8
LYCEE PROFESSIONNEL PRIVE MARIE IMMACULEE,84.8,LP,privé sous contrat,0541364P,84.8,54,2019-2020,54395,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,,29.7,
LYCEE PROFESSIONNEL PRIVE CLAUDE DAUNOT,97.7,LP,privé sous contrat,0541370W,97.7,54,2019-2020,54395,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,,32.8,
LYCEE PROFESSIONNEL PRIVE JEAN BAPTISTE VATELOT,85.4,LP,privé sous contrat,0541377D,85.4,54,2019-2020,54528,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,,26.1,
LYCEE TECHNOLOGIQUE PRIVE PIERRE DE COUBERTIN,,LEGT,privé sous contrat,0542161F,98.2,54,2019-2020,54395,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,98.2,,32.4
LYCEE POLYVALENT JACQUES MARIE BOUTET DE MONVEL LYCEE DES METIERS D ART ET DE LA MAITRISE DE L ENERGIE ELECTRIQUE,90.5,LPO,public,0542293Z,101.0,54,2019-2020,54329,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,109.9,29.9,31.8
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE CHARLES DE FOUCAULD,,LEGT,privé sous contrat,0542408Z,107.7,54,2019-2020,54395,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,107.7,,34.0
LYCEE PROFESSIONNEL EMILE ZOLA,79.3,LP,public,0550003E,79.3,55,2019-2020,55029,NANCY-METZ,MEUSE,BAR LE DUC,,25.1,
LYCEE PROFESSIONNEL LIGIER RICHIER,84.2,LP,public,0550004F,84.2,55,2019-2020,55029,NANCY-METZ,MEUSE,BAR LE DUC,,29.3,
LYCEE POLYVALENT HENRI VOGT,75.9,LPO,public,0550008K,95.8,55,2019-2020,55122,NANCY-METZ,MEUSE,COMMERCY,102.9,23.9,33.8
LYCEE POLYVALENT JEAN AUGUSTE MARGUERITTE LYCEE DES METIERS DE LA PRODUCTIQUE DES AUTOMATISMES ET DES ENERGIES RENOUVELABLES,87.6,LPO,public,0550025D,106.0,55,2019-2020,55545,NANCY-METZ,MEUSE,VERDUN,107.4,28.3,34.0
LYCEE PROFESSIONNEL PRIVE NOTRE DAME DES VERTUS,81.7,LP,privé sous contrat,0550700M,81.7,55,2019-2020,55291,NANCY-METZ,MEUSE,LIGNY EN BARROIS,,26.5,
LYCEE PROFESSIONNEL EUGENE FREYSSINET,81.1,LP,public,0550891V,81.1,55,2019-2020,55545,NANCY-METZ,MEUSE,VERDUN,,26.6,
LYCEE PROFESSIONNEL PRIVE SAINTE ANNE,88.8,LP,privé sous contrat,0550983V,88.8,55,2019-2020,55545,NANCY-METZ,MEUSE,VERDUN,,32.5,
LYCEE POLYVALENT BROCELIANDE LYCEE DES METIERS DU TRANSPORT DE LA LOGISTIQUE LYCEE DES METIERS DE LA MAINTENANCE DES VEHICULES INDUSTRIELS,85.5,LPO,public,0560016N,102.0,56,2019-2020,56075,RENNES,MORBIHAN,GUER,108.5,27.1,34.3
LYCEE GENERAL ET TECHNOLOGIQUE DUPUY DE LOME,,LEGT,public,0560025Y,121.7,56,2019-2020,56121,RENNES,MORBIHAN,LORIENT,121.7,,35.9
LYCEE POLYVALENT PRIVE SAINTE ANNE SAINT LOUIS,95.8,LPO,privé sous contrat,0560119A,115.5,56,2019-2020,56263,RENNES,MORBIHAN,SAINTE ANNE D AURAY,119.7,26.5,32.2
LYCEE POLYVALENT PRIVE SAINT JOSEPH LA SALLE LYCEE DES METIERS DE L ENERGIE,95.3,LPO,privé sous contrat,0560181T,103.9,56,2019-2020,56121,RENNES,MORBIHAN,LORIENT,114.2,29.9,35.0
LYCEE POLYVALENT BLAISE PASCAL LYCEE DES METIERS,67.0,LPO,public,0570030Y,70.8,57,2019-2020,57227,NANCY-METZ,MOSELLE,FORBACH,74.5,20.0,25.6
LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE,74.5,LPO,public,0570085H,99.3,57,2019-2020,57606,NANCY-METZ,MOSELLE,SAINT AVOLD,104.1,26.0,35.5
LYCEE CHARLES JULLY LYCEE DES METIERS ET DES TECHNOLOGIES INNOVANTES,79.2,LPO,public,0570087K,98.1,57,2019-2020,57606,NANCY-METZ,MOSELLE,SAINT AVOLD,106.7,27.2,34.8
LYCEE POLYVALENT LA BRIQUERIE LYCEE DES METIERS DES SCIENCES ET DES TECHNIQUES,83.6,LPO,public,0570108H,89.9,57,2019-2020,57672,NANCY-METZ,MOSELLE,THIONVILLE,104.1,28.0,33.5
LYCEE PROFESSIONNEL METIERS DU BATIMENT ET TRAVAUX PUBLICS,80.5,LP,public,0570144X,80.5,57,2019-2020,57480,NANCY-METZ,MOSELLE,MONTIGNY LES METZ,,27.0,
LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL,92.5,LP,privé sous contrat,0570241C,92.5,57,2019-2020,57012,NANCY-METZ,MOSELLE,ALGRANGE,,29.5,
LYCEE PROFESSIONNEL PRIVEE ST ETIENNE,86.5,LP,privé sous contrat,0570283Y,86.5,57,2019-2020,57463,NANCY-METZ,MOSELLE,METZ,,28.8,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE LA PROVIDENCE,,LEGT,privé sous contrat,0570313F,125.0,57,2019-2020,57672,NANCY-METZ,MOSELLE,THIONVILLE,125.0,,31.9
LYCEE PROFESSIONNEL JEAN MACE,72.7,LP,public,0572075W,72.7,57,2019-2020,57206,NANCY-METZ,MOSELLE,FAMECK,,22.5,
LYCEE TECHNOLOGIQUE PRIVE SAINT VINCENT DE PAUL,,LEGT,privé sous contrat,0573366Z,105.8,57,2019-2020,57012,NANCY-METZ,MOSELLE,ALGRANGE,105.8,,33.6
LYCEE TECHNOLOGIQUE ET PROFESSIONNEL PRIVE SIMONE DOUNON,89.2,LPO,privé sous contrat,0580076T,92.8,58,2019-2020,58086,DIJON,NIEVRE,COSNE COURS SUR LOIRE,97.1,27.4,27.9
LYCEE PROFESSIONNEL PIERRE ET MARIE CURIE,72.2,LP,public,0590015W,72.2,59,2019-2020,59033,LILLE,NORD,AULNOYE AYMERIES,,25.7,
LYCEE GENERAL DES NERVIENS,,LEGT,public,0590024F,112.6,59,2019-2020,59053,LILLE,NORD,BAVAY,112.6,,34.2
LYCEE GENERAL ET TECHNOLOGIQUE FENELON,,LEGT,public,0590035T,110.7,59,2019-2020,59122,LILLE,NORD,CAMBRAI,110.7,,35.0
LYCEE PROFESSIONNEL LOUISE DE BETTIGNIES,74.8,LP,public,0590037V,74.8,59,2019-2020,59122,LILLE,NORD,CAMBRAI,,25.2,
LYCEE POLYVALENT CAMILLE DESMOULINS,66.6,LPO,public,0590042A,81.5,59,2019-2020,59136,LILLE,NORD,LE CATEAU CAMBRESIS,91.5,19.3,31.2
LYCEE GENERAL ET TECHNOLOGIQUE JEAN BAPTISTE COROT,,LEGT,public,0590064Z,99.2,59,2019-2020,59178,LILLE,NORD,DOUAI,99.2,,35.8
LYCEE GENERAL ET TECHNOLOGIQUE JEAN BART,,LEGT,public,0590071G,108.8,59,2019-2020,59183,LILLE,NORD,DUNKERQUE,108.8,,37.1
LYCEE PROFESSIONNEL PLACIDE COURTOY,67.3,LP,public,0590098L,67.3,59,2019-2020,59291,LILLE,NORD,HAUTMONT,,24.4,
LYCEE POLYVALENT VALENTINE LABBE LYCEE DES METIERS DE LA BIOLOGIE DE LA BIOCHIMIE ET DES BIOTECHNOLOGIES DE LA SANTE ET DU SOCIAL,76.7,LPO,public,0590122M,88.3,59,2019-2020,59368,LILLE,NORD,LA MADELEINE,93.0,28.6,33.1
LYCEE HOTELIER INTERNATIONAL DE LILLE,86.3,LPO,public,0590125R,89.5,59,2019-2020,59350,LILLE,NORD,LILLE,107.0,33.3,39.8
LYCEE PROFESSIONNEL MAURICE DUHAMEL,71.4,LP,public,0590133Z,71.4,59,2019-2020,59360,LILLE,NORD,LOOS,,25.4,
LYCEE POLYVALENT PIERRE FOREST,72.8,LPO,public,0590149S,91.7,59,2019-2020,59392,LILLE,NORD,MAUBEUGE,93.8,25.5,36.1
LYCEE GENERAL ET TECHNOLOGIQUE JEAN ROSTAND,,LEGT,public,0590184E,77.5,59,2019-2020,59512,LILLE,NORD,ROUBAIX,77.5,,32.4
LYCEE PROFESSIONNEL TURGOT LYCEE DES METIERS DES SERVICES ADMINISTRATIFS ET DE LA RELATION CLIENT,67.0,LP,public,0590186G,67.0,59,2019-2020,59512,LILLE,NORD,ROUBAIX,,25.2,
LYCEE PROFESSIONNEL LAVOISIER,64.1,LP,public,0590189K,64.1,59,2019-2020,59512,LILLE,NORD,ROUBAIX,,19.4,
LYCEE PROFESSIONNEL GEORGES GUYNEMER,70.9,LP,public,0590198V,70.9,59,2019-2020,59183,LILLE,NORD,DUNKERQUE,,23.1,
LYCEE PROFESSIONNEL SEVIGNE LYCEE DES METIERS DE LA MODE ET DES TEXTILES,70.7,LP,public,0590217R,70.7,59,2019-2020,59599,LILLE,NORD,TOURCOING,,25.5,
LYCEE GENERAL ET TECHNOLOGIQUE JULES MOUSSERON,,LEGT,public,0590282L,83.5,59,2019-2020,59172,LILLE,NORD,DENAIN,83.5,,30.2
LYCEE PROFESSIONNEL LOUIS ARMAND,64.1,LP,public,0592712C,64.1,59,2019-2020,59324,LILLE,NORD,JEUMONT,,20.7,
LYCEE POLYVALENT PRIVE SAINT MARTIN,76.9,LPO,privé sous contrat,0592963A,78.5,59,2019-2020,59512,LILLE,NORD,ROUBAIX,80.1,28.9,29.7
LYCEE PROFESSIONNEL PRIVE LEONARD DE VINCI,85.3,LP,privé sous contrat,0592964B,85.3,59,2019-2020,59512,LILLE,NORD,ROUBAIX,,32.1,
LYCEE PROFESSIONNEL PRIVE SAINT FRANCOIS D ASSISE,81.0,LP,privé sous contrat,0592973L,81.0,59,2019-2020,59512,LILLE,NORD,ROUBAIX,,29.9,
LYCEE POLYVALENT PRIVE EIC MARIE NOEL,78.1,LPO,privé sous contrat,0592980U,82.5,59,2019-2020,59599,LILLE,NORD,TOURCOING,88.4,24.2,29.0
LYCEE PROFESSIONNEL PRIVE CAMILLE DE LELLIS,86.9,LP,privé sous contrat,0593015G,86.9,59,2019-2020,59328,LILLE,NORD,LAMBERSART,,34.5,
LYCEE POLYVALENT PRIVE VAUBAN LYCEE DES METIERS,86.1,LPO,privé sous contrat,0593058D,89.6,59,2019-2020,59183,LILLE,NORD,DUNKERQUE,97.4,28.1,32.0
LYCEE PROFESSIONNEL PRIVE JEAN PAUL II,71.4,LP,privé sous contrat,0593066M,71.4,59,2019-2020,59172,LILLE,NORD,DENAIN,,21.8,
LYCEE POLYVALENT PRIVE DEFOREST DE LEWARDE,90.0,LPO,privé sous contrat,0593071T,91.6,59,2019-2020,59178,LILLE,NORD,DOUAI,95.8,28.3,30.6
